week_start,elec_price,nat_gas_price,wind_speed,sunshine_duration
2018-10-01,51.45,26.63,4.3770245396305185,51.380006152580705
2018-10-08,54.53,26.86,3.620766198999389,64.36532534379731
2018-10-15,64.0,24.28,2.5326829336730836,58.44533245324477
2018-10-22,47.71,24.285,5.586504139189963,22.132139046578285
2018-10-29,46.43,24.325,4.475012843664416,29.29772938636873
2018-11-05,53.85,25.955,3.6702290549963137,40.77294311342586
2018-11-12,55.28,24.82,3.899899505267266,41.86366021760415
2018-11-19,60.59,24.69,4.329060512094393,21.336502330576813
2018-11-26,55.3,23.145,4.693322085275025,15.07967533276552
2018-12-03,38.94,24.645,5.884085295824193,17.396445058822145
2018-12-10,57.57,24.9,4.428838497517899,20.065278251249946
2018-12-17,52.98,22.81,4.4329839214314255,15.213784271607617
2018-12-24,44.85,22.93,4.589378888983292,21.370155051203685
2018-12-31,40.09,22.255,5.20198093043033,13.41916111817146
2019-01-07,42.83,22.605,6.081082066218014,8.415980156621023
2019-01-14,48.16,20.89,5.100360226965239,32.11079863632731
2019-01-21,63.54,19.3,3.5584719443783284,24.69224823395893
2019-01-28,53.7,18.265,4.015257341276109,23.01549308597689
2019-02-04,38.59,18.1,5.581181022575848,34.87712482161744
2019-02-11,42.72,17.23,4.194810718077689,50.5024546002488
2019-02-18,43.41,17.32,3.7376759060076488,51.09807271318367
2019-02-25,38.69,16.73,3.5210063836671677,46.25916181928081
2019-03-04,22.9,15.25,7.035807231814063,40.301163350543554
2019-03-11,24.1,14.455,7.041470111475275,31.89265860558247
2019-03-18,38.31,14.215,3.6451901649181058,64.13304925650368
2019-03-25,36.45,16.635,3.7668563564022195,52.15820878649768
2019-04-01,39.24,15.855,3.2034982547097517,59.72514109536267
2019-04-08,42.5,14.46,3.9326872838990417,47.01403878079595
2019-04-15,37.86,14.425,3.7930612757876467,87.34264043294228
2019-04-22,26.48,14.565,4.5009814890723385,71.13328733609396
2019-04-29,37.16,13.995,4.333061640759244,56.91571583738028
2019-05-06,40.19,12.855,3.8495364782242447,58.94400247196711
2019-05-13,39.47,12.25,3.498666605707253,72.42792689294399
2019-05-20,38.44,11.205,3.9251635318026623,57.51584175925605
2019-05-27,32.02,11.52,3.509589550196054,71.7988933936676
2019-06-03,24.02,11.32,3.892799383158758,85.83089769549551
2019-06-10,37.41,10.355,3.3002169677649627,75.67380582913161
2019-06-17,36.11,10.115,3.0077093224930227,92.2872211084647
2019-06-24,34.41,11.215,3.7358648168755018,103.21053829196008
2019-07-01,32.09,13.28,4.555572819976582,85.35681149242896
